Dep_Delay,Dep_Delay_Groups,Arrival_Delay,Arr_Delay_Minutes,Arr_Del_morethan15
51,3,48,48,1
-10,-1,2,2,0
-3,-1,-5,0,0
18,1,53,53,1
-1,-1,-5,0,0
-1,-1,-15,0,0
-2,-1,-25,0,0
0,0,6,6,0
-6,-1,-20,0,0
-3,-1,-2,0,0
-2,-1,19,19,1
48,3,34,34,1
18,1,-9,0,0
-4,-1,-13,0,0
-3,-1,-22,0,0
5,0,-10,0,0
7,0,-4,0,0
17,1,1,1,0
26,1,18,18,1
-2,-1,-9,0,0
1,0,-14,0,0
-2,-1,-4,0,0
4,0,-14,0,0
-8,-1,3,3,0
-6,-1,-7,0,0
-6,-1,-10,0,0
-2,-1,13,13,0
9,0,13,13,0
-8,-1,-23,0,0
30,2,2,2,0
-9,-1,-29,0,0
10,0,-3,0,0
-1,-1,1,1,0
-8,-1,-23,0,0
9,0,2,2,0
-4,-1,51,51,1
0,0,-25,0,0
6,0,0,0,0
-8,-1,-14,0,0
25,1,2,2,0
-1,-1,-3,0,0
32,2,6,6,0
-2,-1,-14,0,0
0,0,-22,0,0
-6,-1,-8,0,0
45,3,43,43,1
-5,-1,-16,0,0
1,0,-14,0,0
-4,-1,-24,0,0
-5,-1,-8,0,0
-9,-1,-16,0,0
-2,-1,-24,0,0
-1,-1,-28,0,0
-5,-1,-16,0,0
-3,-1,-4,0,0
2,0,-17,0,0
1,0,-18,0,0
26,1,45,45,1
-3,-1,-18,0,0
7,0,-3,0,0
0,0,-10,0,0
-3,-1,-11,0,0
-3,-1,-17,0,0
-7,-1,-27,0,0
-2,-1,-17,0,0
-2,-1,-20,0,0
0,0,-7,0,0
-5,-1,-19,0,0
-4,-1,13,13,0
-3,-1,-14,0,0
8,0,8,8,0
-6,-1,-11,0,0
-5,-1,-15,0,0
8,0,-9,0,0
-1,-1,19,19,1
-2,-1,6,6,0
-3,-1,2,2,0
-1,-1,1,1,0
3,0,-7,0,0
-4,-1,-9,0,0
10,0,-1,0,0
-9,-1,-14,0,0
42,2,29,29,1
-7,-1,-10,0,0
-7,-1,-5,0,0
-5,-1,24,24,1
45,3,34,34,1
-5,-1,-17,0,0
-3,-1,-13,0,0
-3,-1,-12,0,0
30,2,19,19,1
-6,-1,-13,0,0
-6,-1,-18,0,0
-7,-1,-16,0,0
0,0,-15,0,0
-6,-1,1,1,0
-2,-1,-14,0,0
0,0,-7,0,0
-3,-1,0,0,0
-4,-1,-11,0,0
2,0,-15,0,0
4,0,-5,0,0
0,0,-11,0,0
1,0,-5,0,0
15,1,26,26,1
42,2,27,27,1
46,3,37,37,1
30,2,24,24,1
50,3,54,54,1
-3,-1,-9,0,0
-5,-1,-13,0,0
-4,-1,-12,0,0
-4,-1,2,2,0
1,0,1,1,0
0,0,-5,0,0
-4,-1,-18,0,0
12,0,8,8,0
5,0,3,3,0
3,0,-6,0,0
-2,-1,-8,0,0
-4,-1,10,10,0
52,3,39,39,1
53,3,37,37,1
55,3,44,44,1
5,0,-10,0,0
-5,-1,-10,0,0
-2,-1,-25,0,0
0,0,-40,0,0
11,0,-11,0,0
23,1,13,13,0
0,0,-9,0,0
-6,-1,-29,0,0
-5,-1,-15,0,0
-6,-1,-18,0,0
50,3,26,26,1
-1,-1,9,9,0
-10,-1,-27,0,0
-2,-1,-14,0,0
-1,-1,-1,0,0
-9,-1,-24,0,0
-1,-1,-6,0,0
-5,-1,-32,0,0
-1,-1,11,11,0
-4,-1,-5,0,0
-6,-1,-3,0,0
-3,-1,-21,0,0
-4,-1,-45,0,0
2,0,-32,0,0
-2,-1,-37,0,0
-3,-1,-34,0,0
4,0,-16,0,0
1,0,4,4,0
-3,-1,9,9,0
-10,-1,-7,0,0
-1,-1,-36,0,0
-1,-1,-1,0,0
-7,-1,-28,0,0
8,0,1,1,0
33,2,31,31,1
3,0,-7,0,0
-1,-1,-3,0,0
-4,-1,-28,0,0
2,0,-7,0,0
-4,-1,-17,0,0
2,0,-14,0,0
3,0,-10,0,0
7,0,-3,0,0
-3,-1,-18,0,0
0,0,-12,0,0
19,1,3,3,0
29,1,31,31,1
-4,-1,-16,0,0
-3,-1,-7,0,0
0,0,-4,0,0
14,0,-19,0,0
41,2,33,33,1
0,0,-2,0,0
27,1,26,26,1
7,0,9,9,0
24,1,-1,0,0
9,0,-13,0,0
-5,-1,-31,0,0
-3,-1,-14,0,0
-4,-1,26,26,1
-2,-1,6,6,0
35,2,10,10,0
8,0,49,49,1
23,1,-1,0,0
-1,-1,6,6,0
-3,-1,-8,0,0
24,1,-2,0,0
21,1,-1,0,0
28,1,21,21,1
12,0,14,14,0
24,1,16,16,1
37,2,62,62,1
9,0,7,7,0
14,0,9,9,0
-4,-1,-31,0,0
19,1,6,6,0
10,0,8,8,0
5,0,46,46,1
-2,-1,-21,0,0
-5,-1,-21,0,0
1,0,-5,0,0
46,3,26,26,1
-2,-1,-12,0,0
-1,-1,-16,0,0
2,0,-4,0,0
12,0,14,14,0
-1,-1,-12,0,0
2,0,-7,0,0
1,0,-5,0,0
-1,-1,5,5,0
33,2,36,36,1
33,2,28,28,1
9,0,27,27,1
-5,-1,-22,0,0
-3,-1,-26,0,0
-6,-1,-37,0,0
-2,-1,-2,0,0
5,0,-6,0,0
-3,-1,0,0,0
-6,-1,-20,0,0
-2,-1,-27,0,0
-3,-1,-18,0,0
30,2,35,35,1
4,0,25,25,1
-3,-1,-28,0,0
1,0,1,1,0
0,0,12,12,0
-4,-1,-25,0,0
3,0,-5,0,0
9,0,26,26,1
-2,-1,-44,0,0
-5,-1,-4,0,0
-5,-1,34,34,1
-2,-1,-9,0,0
0,0,-17,0,0
-3,-1,-27,0,0
-1,-1,-18,0,0
-6,-1,25,25,1
5,0,-5,0,0
-4,-1,-8,0,0
1,0,-28,0,0
3,0,0,0,0
-2,-1,-2,0,0
-5,-1,-11,0,0
-5,-1,-30,0,0
0,0,-10,0,0
-6,-1,-27,0,0
-4,-1,-23,0,0
0,0,15,15,1
-3,-1,-19,0,0
-1,-1,-26,0,0
-5,-1,-24,0,0
0,0,-18,0,0
20,1,-3,0,0
-8,-1,-44,0,0
-3,-1,-36,0,0
11,0,6,6,0
0,0,-24,0,0
0,0,-26,0,0
-1,-1,-24,0,0
-1,-1,-23,0,0
25,1,32,32,1
-3,-1,-6,0,0
-2,-1,-6,0,0
28,1,19,19,1
4,0,-20,0,0
4,0,-18,0,0
4,0,-1,0,0
21,1,9,9,0
28,1,16,16,1
0,0,-15,0,0
55,3,36,36,1
10,0,3,3,0
-4,-1,-5,0,0
-5,-1,-26,0,0
8,0,1,1,0
7,0,-6,0,0
3,0,-17,0,0
45,3,37,37,1
14,0,16,16,1
-3,-1,-22,0,0
-1,-1,-6,0,0
0,0,1,1,0
15,1,9,9,0
-7,-1,-21,0,0
-1,-1,-23,0,0
3,0,-25,0,0
-5,-1,-3,0,0
-2,-1,-7,0,0
-2,-1,-8,0,0
-7,-1,-10,0,0
-4,-1,0,0,0
-7,-1,-16,0,0
-3,-1,-5,0,0
-3,-1,-6,0,0
-4,-1,-12,0,0
-8,-1,-14,0,0
-6,-1,-11,0,0
-6,-1,-16,0,0
-1,-1,-1,0,0
-3,-1,-13,0,0
-2,-1,-13,0,0
6,0,3,3,0
-3,-1,-6,0,0
-5,-1,-14,0,0
-6,-1,-22,0,0
-4,-1,-17,0,0
-8,-1,13,13,0
-3,-1,-21,0,0
-4,-1,-13,0,0
-7,-1,-24,0,0
-6,-1,-19,0,0
-2,-1,-4,0,0
-5,-1,-8,0,0
-2,-1,-8,0,0
-5,-1,-16,0,0
-4,-1,-14,0,0
0,0,-12,0,0
7,0,26,26,1
35,2,31,31,1
-4,-1,-6,0,0
25,1,40,40,1
8,0,26,26,1
20,1,17,17,1
14,0,1,1,0
3,0,-9,0,0
40,2,20,20,1
9,0,-3,0,0
25,1,41,41,1
56,3,44,44,1
-6,-1,-12,0,0
-6,-1,-13,0,0
52,3,48,48,1
31,2,25,25,1
46,3,34,34,1
-5,-1,5,5,0
54,3,43,43,1
56,3,46,46,1
-2,-1,-7,0,0
-7,-1,-13,0,0
-7,-1,-9,0,0
19,1,4,4,0
33,2,16,16,1
25,1,19,19,1
-3,-1,-3,0,0
-1,-1,4,4,0
-2,-1,-1,0,0
30,2,40,40,1
30,2,59,59,1
26,1,37,37,1
21,1,15,15,1
-9,-1,-27,0,0
21,1,13,13,0
-6,-1,-6,0,0
0,0,-13,0,0
-8,-1,-28,0,0
10,0,2,2,0
0,0,0,0,0
-1,-1,45,45,1
-4,-1,-8,0,0
-5,-1,-26,0,0
-6,-1,-22,0,0
-6,-1,-17,0,0
0,0,-10,0,0
-5,-1,-12,0,0
-6,-1,-19,0,0
-1,-1,0,0,0
-2,-1,-3,0,0
-8,-1,1,1,0
8,0,7,7,0
-3,-1,-6,0,0
-3,-1,17,17,1
1,0,-13,0,0
-6,-1,-8,0,0
0,0,-9,0,0
-3,-1,-9,0,0
-9,-1,10,10,0
0,0,-17,0,0
-1,-1,-20,0,0
-5,-1,-6,0,0
11,0,3,3,0
-3,-1,-17,0,0
-3,-1,4,4,0
-5,-1,13,13,0
-3,-1,8,8,0
-1,-1,-8,0,0
8,0,7,7,0
18,1,16,16,1
15,1,18,18,1
56,3,46,46,1
35,2,32,32,1
-2,-1,2,2,0
-7,-1,0,0,0
