Dep_Delay,Dep_Delay_Groups,Arrival_Delay,Arr_Delay_Minutes,Arr_Del_morethan15
9,0,13,13,0
-3,-1,-35,0,0
4,0,-12,0,0
108,7,99,99,1
11,0,4,4,0
276,12,283,283,1
44,2,36,36,1
251,12,225,225,1
-2,-1,-11,0,0
0,0,0,0,0
-4,-1,-10,0,0
0,0,-8,0,0
151,10,150,150,1
-6,-1,-30,0,0
-1,-1,-22,0,0
-1,-1,-14,0,0
31,2,6,6,0
64,4,68,68,1
-2,-1,-18,0,0
9,0,16,16,1
51,3,16,16,1
1,0,-28,0,0
-5,-1,-23,0,0
93,6,56,56,1
2,0,-46,0,0
74,4,18,18,1
93,6,66,66,1
18,1,13,13,0
80,5,76,76,1
127,8,96,96,1
38,2,48,48,1
103,6,101,101,1
-3,-1,-10,0,0
-2,-1,-5,0,0
-6,-1,-21,0,0
39,2,19,19,1
-5,-1,-23,0,0
75,5,71,71,1
-6,-1,-5,0,0
-3,-1,-17,0,0
-2,-1,-10,0,0
0,0,-2,0,0
-5,-1,15,15,1
-4,-1,-16,0,0
296,12,300,300,1
-6,-1,-14,0,0
10,0,26,26,1
37,2,38,38,1
61,4,62,62,1
2,0,-4,0,0
-5,-1,1,1,0
-4,-1,-24,0,0
8,0,9,9,0
6,0,11,11,0
75,5,65,65,1
-1,-1,9,9,0
101,6,90,90,1
4,0,-1,0,0
-3,-1,-14,0,0
46,3,37,37,1
-2,-1,-15,0,0
26,1,12,12,0
-1,-1,-17,0,0
27,1,11,11,0
-4,-1,-4,0,0
12,0,12,12,0
-2,-1,-31,0,0
-1,-1,-13,0,0
17,1,-7,0,0
25,1,18,18,1
7,0,-10,0,0
-6,-1,-20,0,0
15,1,16,16,1
-1,-1,-20,0,0
3,0,-2,0,0
41,2,33,33,1
20,1,-1,0,0
33,2,13,13,0
-2,-1,-14,0,0
12,0,17,17,1
37,2,30,30,1
-3,-1,-5,0,0
79,5,68,68,1
15,1,22,22,1
-5,-1,-14,0,0
-1,-1,-28,0,0
93,6,80,80,1
60,4,36,36,1
-1,-1,19,19,1
107,7,114,114,1
-1,-1,-19,0,0
86,5,96,96,1
1138,12,1126,1126,1
0,0,-6,0,0
-4,-1,-3,0,0
-5,-1,2,2,0
-2,-1,1,1,0
69,4,69,69,1
45,3,62,62,1
19,1,32,32,1
-2,-1,-32,0,0
55,3,45,45,1
-5,-1,-14,0,0
3,0,-31,0,0
-2,-1,-46,0,0
137,9,117,117,1
0,0,0,0,0
20,1,46,46,1
-4,-1,0,0,0
16,1,28,28,1
0,0,-23,0,0
92,6,76,76,1
-6,-1,-28,0,0
2,0,2,2,0
95,6,89,89,1
3,0,-9,0,0
52,3,55,55,1
-2,-1,17,17,1
1,0,1,1,0
-5,-1,-31,0,0
20,1,-5,0,0
25,1,28,28,1
3,0,-6,0,0
-2,-1,3,3,0
-1,-1,-36,0,0
14,0,5,5,0
7,0,-5,0,0
-5,-1,-24,0,0
-2,-1,-13,0,0
-2,-1,-4,0,0
0,0,-11,0,0
-3,-1,-20,0,0
-1,-1,-6,0,0
-8,-1,-3,0,0
5,0,-5,0,0
12,0,22,22,1
-4,-1,-24,0,0
-3,-1,-24,0,0
58,3,26,26,1
-4,-1,-10,0,0
-7,-1,-22,0,0
-5,-1,-25,0,0
-9,-1,-30,0,0
6,0,14,14,0
-2,-1,-2,0,0
-5,-1,-28,0,0
-4,-1,-19,0,0
0,0,-37,0,0
90,6,141,141,1
-4,-1,-9,0,0
3,0,-13,0,0
-6,-1,-3,0,0
10,0,15,15,1
-6,-1,-12,0,0
-2,-1,15,15,1
25,1,53,53,1
11,0,-14,0,0
-4,-1,-15,0,0
-6,-1,-20,0,0
-3,-1,17,17,1
-4,-1,-16,0,0
0,0,7,7,0
7,0,-3,0,0
-1,-1,-18,0,0
18,1,55,55,1
30,2,41,41,1
-7,-1,4,4,0
83,5,111,111,1
-5,-1,-3,0,0
-7,-1,-21,0,0
-5,-1,-9,0,0
88,5,65,65,1
9,0,6,6,0
-2,-1,-17,0,0
48,3,74,74,1
-2,-1,3,3,0
57,3,46,46,1
23,1,36,36,1
-5,-1,-29,0,0
13,0,10,10,0
4,0,15,15,1
4,0,5,5,0
-6,-1,-18,0,0
-4,-1,-6,0,0
-1,-1,7,7,0
-8,-1,0,0,0
-3,-1,-21,0,0
-5,-1,-21,0,0
18,1,54,54,1
6,0,14,14,0
18,1,9,9,0
-4,-1,5,5,0
17,1,20,20,1
-2,-1,3,3,0
-5,-1,-6,0,0
34,2,25,25,1
22,1,-6,0,0
-3,-1,13,13,0
-4,-1,12,12,0
-2,-1,6,6,0
-2,-1,-4,0,0
-9,-1,-16,0,0
20,1,41,41,1
-5,-1,46,46,1
0,0,-38,0,0
-5,-1,-35,0,0
-4,-1,-13,0,0
80,5,61,61,1
-4,-1,-20,0,0
-3,-1,-12,0,0
44,2,72,72,1
40,2,96,96,1
7,0,-14,0,0
0,0,-25,0,0
6,0,9,9,0
54,3,44,44,1
86,5,72,72,1
-4,-1,5,5,0
-1,-1,12,12,0
2,0,-8,0,0
41,2,37,37,1
-4,-1,25,25,1
-8,-1,6,6,0
88,5,115,115,1
12,0,27,27,1
27,1,21,21,1
-9,-1,-11,0,0
139,9,121,121,1
19,1,3,3,0
2,0,10,10,0
126,8,112,112,1
-2,-1,-1,0,0
102,6,184,184,1
130,8,160,160,1
-3,-1,-1,0,0
-5,-1,-4,0,0
-4,-1,2,2,0
32,2,20,20,1
-8,-1,-4,0,0
-3,-1,-17,0,0
-9,-1,23,23,1
-3,-1,-5,0,0
-2,-1,-20,0,0
-12,-1,-28,0,0
-6,-1,-22,0,0
-9,-1,-28,0,0
-3,-1,-3,0,0
1,0,7,7,0
-4,-1,-25,0,0
-4,-1,-26,0,0
12,0,-3,0,0
-2,-1,-28,0,0
-4,-1,-17,0,0
-1,-1,-32,0,0
3,0,-13,0,0
8,0,-3,0,0
0,0,-21,0,0
-7,-1,-18,0,0
-3,-1,-20,0,0
-3,-1,-15,0,0
20,1,16,16,1
-1,-1,-15,0,0
197,12,195,195,1
-5,-1,33,33,1
-3,-1,-12,0,0
3,0,-7,0,0
0,0,-8,0,0
16,1,19,19,1
-8,-1,-2,0,0
47,3,41,41,1
-3,-1,-13,0,0
-6,-1,-13,0,0
-6,-1,-13,0,0
32,2,19,19,1
-4,-1,-21,0,0
-9,-1,-18,0,0
-9,-1,-15,0,0
-3,-1,-7,0,0
-2,-1,-12,0,0
-2,-1,-9,0,0
-5,-1,-5,0,0
-4,-1,-12,0,0
15,1,12,12,0
-8,-1,6,6,0
-5,-1,-12,0,0
31,2,19,19,1
-4,-1,-6,0,0
73,4,80,80,1
6,0,-1,0,0
-6,-1,9,9,0
1,0,7,7,0
-2,-1,-6,0,0
-4,-1,-13,0,0
42,2,47,47,1
-4,-1,-1,0,0
